X,Y,OBJECTID,LFPL_NAME,LFPL_ADD,LFPL_LOC,LFPL_WEB,TELEPHONE,LATITUDE,LONGITUDE
1236709.5,263518.375,1,BON AIR REGIONAL,2816 DEL RIO PL,LOUISVILLE KY 40220,http://www.lfpl.org/branches/bonair.htm,502-574-1795,38.215198,-85.655197
1226610.5,278009.84375,2,CRESCENT HILL,2762 FRANKFORT AVE,LOUISVILLE KY 40206,http://www.lfpl.org/branches/crescent-hill.htm,502-574-1793,38.254501,-85.691101
1205781.33374999,224286.786249995,3,FAIRDALE,10620 WEST MANSLICK RD,FAIRDALE KY 40118,http://www.lfpl.org/branches/fairdale.htm,502-375-2051,38.106098,-85.760597
1218831.125,270941.59375,4,HIGHLANDS-SHELBY PARK,1250 BARDSTOWN RD,LOUISVILLE KY 40204,http://www.lfpl.org/branches/highlands-shelbypark.htm,502-574-1672,38.234798,-85.717796
1203084.625,252214.953749999,5,IROQUOIS,601 WEST WOODLAWN AVE,LOUISVILLE KY 40215,http://www.lfpl.org/branches/iroquois.htm,502-574-1720,38.182701,-85.771499
1263635.0,256721.859999999,6,JEFFERSONTOWN,40635 WATTERSON TRL,LOUISVILLE KY 40299,http://www.lfpl.org/branches/jeffersontown.htm,502-267-5713,38.197601,-85.561096
1273893.0,274884.5,7,MIDDLETOWN,200 NORTH JUNEAU DR,LOUISVILLE KY 40243,http://www.lfpl.org/branches/middletown.htm,502-245-7332,38.247898,-85.526298
1230395.75,238029.172499999,8,SOUTH CENTRAL REGIONAL,7300 JEFFERSON BLVD,LOUISVILLE KY 40219,http://www.lfpl.org/branches/NewSouthCentral.htm,502-969-3515,38.1399,-85.686798
1195082.5,286050.0625,9,PORTLAND,3305 NORTHWESTERN PKWY,LOUISVILLE KY 40212,http://www.lfpl.org/branches/portland.htm,502-574-1744,38.275199,-85.801399
1238517.625,275932.0,10,ST. MATTHEWS/ELINE,3940 GRANDVIEW AVE,LOUISVILLE KY 40207,http://www.lfpl.org/branches/stmatthews.htm,502-574-1771,38.249298,-85.649497
1190380.75,276914.9375,11,SHAWNEE,3912 WEST BROADWAY,LOUISVILLE KY 40211,http://www.lfpl.org/branches/shawnee.htm,502-574-1722,38.2499,-85.817199
1192999.375,256948.09375,12,SHIVELY,3920 DIXIE HWY,LOUISVILLE KY 40216,http://www.lfpl.org/branches/shively.htm,502-574-1730,38.195201,-85.8069
1204474.75,276607.09375,13,WESTERN,604 SOUTH 10TH ST,LOUISVILLE KY 40203,http://www.lfpl.org/branches/western.htm,502-574-1779,38.249698,-85.768096
1207460.25,274726.15625,14,MAIN,301 YORK ST,LOUISVILLE KY 40203,http://www.lfpl.org/branches/main.htm,502-574-1611,38.244701,-85.757598
1232067.72875001,251256.560000002,15,NEWBURG,4800 EXETER AVE,LOUISVLLE KY 40218,http://www.lfpl.org/branches/newburg.htm,502-479-6160,38.181312,-85.670672
1177323.19,227727.383750007,16,SOUTHWEST BRANCH,9725 DIXIE HWY,LOUISVILLE KY 40272,http://www.lfpl.org/branches/southwest.htm,502-933-0029,38.1142,-85.859703
1259572.06999999,282535.177499995,17,NORTHEAST REGIONAL,15 BELLEVOIR CIR,LOUISVILLE KY 40223,http://www.lfpl.org/branches/northeast.html,502-574-1781,38.2683202,-85.5765619
